city,address,new,rooms,square,floor,floors,price,Пермь,Березники,Оханск,Чайковский,д. Кондратово,остальные
Березники,"Юбилейная улица, 102",0,2,160.77,1,5,2100000.0,0,1,0,0,0,0
Березники,"улица Шишкина, 83",0,1,160.44,3,5,3098679.0,0,1,0,0,0,0
Березники,"улица Шишкина, 84",0,1,163.06,1,5,2920923.0,0,1,0,0,0,0
Березники,"улица Шишкина, 82",0,2,217.66,2,5,4540306.0,0,1,0,0,0,0
Пермь,"р-н Дзержинский, мкр. Акулова, Красноборская улица, 8",0,2,193.81,3,3,3550000.0,1,0,0,0,0,0
Пермь,"р-н Индустриальный, мкр. Балатово, улица Снайперов, 8",0,1,138.14,4,5,3100000.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, мкр. Разгуляй, улица 25 Октября, 4",0,3,253.65,5,5,8950000.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, мкр. Садовый, улица Юрша, 1",0,1,158.11,7,9,4050000.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, мкр. Данилиха, Полевая улица, 10",0,0,143.52,9,25,4600000.0,1,0,0,0,0,0
д. Кондратово,"улица Водопроводная, 1",0,2,180.9,9,16,5950000.0,0,0,0,0,1,0
Пермь,"р-н Свердловский, мкр. Зеленое хозяйство, улица Льва Шатрова, 10",0,1,140.48,2,5,3500000.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, мкр. Парковый, Подлесная улица, 19/3",0,0,75.68,1,4,2260000.0,1,0,0,0,0,0
Пермь,"р-н Кировский, Пензенская улица, 62",0,2,208.59,2,2,1750000.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, улица Революции, 54",0,3,252.0,20,20,12300000.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, мкр. Центр, улица Борчанинова, 15",0,3,222.91,4,10,7100000.0,1,0,0,0,0,0
Пермь,"р-н Индустриальный, мкр. Нагорный, улица Архитектора Свиязева, 48",0,4,250.5,4,12,6500000.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, мкр. Садовый, улица Юрша, 5",0,1,147.6,9,10,4150000.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, мкр. Островский, улица Революции, 2А",0,2,190.7,3,26,7900000.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, мкр. Крохалева, улица Лодыгина, 37",0,1,134.96,2,3,2550000.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, мкр. Октябрьский, Весенняя улица, 30",0,2,179.77,1,2,2800000.0,1,0,0,0,0,0
Пермь,"р-н Орджоникидзевский, мкр. Гайва, улица Кабельщиков, 17",0,1,149.41,6,10,3299000.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, мкр. Железнодорожный, Хабаровская улица, 54",0,2,189.38,12,18,5190000.0,1,0,0,0,0,0
Пермь,"р-н Индустриальный, мкр. Балатово, улица Танкистов, 70",0,1,134.16,5,5,3400000.0,1,0,0,0,0,0
Пермь,"р-н Кировский, мкр. Закамск, улица Липатова, 6",0,2,179.77,2,5,3350000.0,1,0,0,0,0,0
Пермь,"р-н Индустриальный, мкр. Новоплоский, улица Карпинского, 57А",0,1,135.76,4,5,3250000.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, улица Василия Татищева, 4",0,2,210.86,25,25,7500000.0,1,0,0,0,0,0
Пермь,"р-н Индустриальный, мкр. Балатово, улица Комбайнеров, 43",0,3,251.84,19,24,13000000.0,1,0,0,0,0,0
остальные,"проспект Ленина, 17",0,2,158.11,5,5,1550000.0,0,0,0,0,0,1
Пермь,"р-н Орджоникидзевский, мкр. Кислотные Дачи, улица Бушмакина, 96",0,0,149.77,7,15,3100000.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, мкр. Центр, Петропавловская улица, 83",0,2,177.46,4,9,5890000.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, мкр. Парковый, улица Строителей, 48",0,2,209.5,15,16,7490000.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, улица Ленина, 84",0,3,213.76,4,5,5890000.0,1,0,0,0,0,0
Пермь,"р-н Кировский, мкр. Старые Водники, улица Танцорова, 25",0,1,163.06,7,10,4640000.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, мкр. Разгуляй, Пермская улица, 2",1,2,64.09,6,6,11536200.0,1,0,0,0,0,0
остальные,"улица Шмидта, 49",0,2,183.7,5,5,2150000.0,0,0,0,0,0,1
Пермь,"р-н Кировский, улица Богдана Хмельницкого, 30",0,1,136.16,1,5,2650000.0,1,0,0,0,0,0
Пермь,"р-н Орджоникидзевский, мкр. Гайва, переулок 2-й Дубровский, 6",0,2,180.62,5,5,3100000.0,1,0,0,0,0,0
Пермь,"р-н Кировский, мкр. Новые Водники, улица Адмирала Ушакова, 59/2",0,2,202.97,9,9,4500000.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, улица Докучаева, 23",0,2,232.05,6,17,6700000.0,1,0,0,0,0,0
Пермь,"р-н Кировский, мкр. Нижняя Курья, улица Танцорова, 31",0,1,147.96,1,9,3200000.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, мкр. Островский, улица Революции, 21Б",0,3,299.87,8,21,15174000.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, улица Кочегаров, 71",0,3,228.75,1,9,4490000.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, мкр. Разгуляй, Пермская улица, 33",1,2,80.2,4,11,15990000.0,1,0,0,0,0,0
Пермь,"р-н Индустриальный, мкр. Ераничи, улица Подводников, 20",0,2,182.59,8,10,6300000.0,1,0,0,0,0,0
Чайковский,"Вокзальная улица, 55",0,1,93.55,3,5,1980000.0,0,0,0,1,0,0
Пермь,"р-н Орджоникидзевский, мкр. Левшино, Томская улица, 40",0,2,183.42,5,5,2899000.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, мкр. Заимка, улица Дзержинского",0,2,166.89,4,9,6490000.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, мкр. Островский, улица Революции, 2А",1,2,48.45,15,25,7219050.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, мкр. Рабочий поселок, улица КИМ, 45",0,1,155.73,6,12,5100000.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, мкр. Разгуляй, Пермская улица, 2",1,1,46.17,6,6,9093182.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, мкр. Разгуляй, Пермская улица, 33",0,2,308.22,6,9,22900000.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, мкр. Разгуляй, Пермская улица, 2",0,1,170.61,2,6,7590000.0,1,0,0,0,0,0
Пермь,"р-н Кировский, улица Победы, 31",0,2,176.59,3,3,2490000.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, мкр. Владимирский, Ординская улица, 10к1",1,2,64.8,13,17,6539726.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, мкр. Светлый, Рабочая улица, 15",0,1,136.56,1,5,3270000.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, мкр. Плоский, Вильвенская улица, 2",0,6,502.0,20,20,35226000.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, улица Гашкова, 58",1,2,36.1,8,9,4729963.0,1,0,0,0,0,0
