housing,existing_credits,duration,credit_amount,age,personal_status,purpose,credit_history,type
арендатор,1,46,8024,20,мужчина (женатый или вдовец),другое,есть непогашенные кредиты,ненадежный
домовладелец,4,56,17513,44,мужчина (одинокий),ремонт жилья,есть непогашенные кредиты,надежный
домовладелец,2,44,8450,33,мужчина (одинокий),ремонт жилья,есть непогашенные кредиты,надежный
домовладелец,2,88,14440,23,мужчина (разведенный),новая машина,есть просрочки платежей,ненадежный
домовладелец,2,54,13128,35,мужчина (одинокий),новая машина,есть просрочки платежей,ненадежный
домовладелец,1,20,1958,27,женщина,новая машина,есть непогашенные кредиты,ненадежный
домовладелец,1,46,17250,24,мужчина (одинокий),подержанная машина,есть непогашенные кредиты,надежный
домовладелец,2,37,1219,40,женщина,новая машина,есть просрочки платежей,надежный
домовладелец,1,10,3091,24,женщина,мебель,есть непогашенные кредиты,ненадежный
домовладелец,2,33,8842,31,мужчина (одинокий),бытовая техника,есть просрочки платежей,надежный
домовладелец,1,36,9720,38,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
домовладелец,1,70,16074,48,мужчина (разведенный),мебель,есть непогашенные кредиты,ненадежный
домовладелец,1,33,8536,23,мужчина (женатый или вдовец),новая машина,есть непогашенные кредиты,ненадежный
домовладелец,1,56,9020,35,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,19,2249,56,женщина,образование,есть просрочки платежей,надежный
домовладелец,1,73,10705,53,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,2,60,14665,43,мужчина (разведенный),новая машина,есть просрочки платежей,надежный
домовладелец,2,24,2270,21,женщина,бытовая техника,есть просрочки платежей,надежный
домовладелец,1,39,11404,30,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,ненадежный
без жилья,2,72,8761,62,мужчина (одинокий),образование,есть просрочки платежей,надежный
домовладелец,1,44,11565,27,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
без жилья,1,44,10261,30,мужчина (разведенный),бытовая техника,все кредиты погашены,ненадежный
домовладелец,2,17,7190,49,женщина,бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,2,57,13236,29,мужчина (разведенный),мебель,есть просрочки платежей,надежный
домовладелец,2,51,10135,33,мужчина (одинокий),другое,есть непогашенные кредиты,надежный
домовладелец,1,17,12794,28,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
арендатор,4,16,1108,22,женщина,мебель,есть непогашенные кредиты,ненадежный
домовладелец,2,41,10039,31,мужчина (одинокий),бытовая техника,есть просрочки платежей,надежный
домовладелец,1,20,1293,61,женщина,мебель,есть непогашенные кредиты,надежный
